Local time in Wanyuan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.04.2020 20:00,13.9,703.8,762.7,1.1,61,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,16.0,,,2500 or more  or no clouds.,,,17.0,6.5,No precipitation,12,,,,
01.04.2020 17:00,15.2,702.7,761.3,-0.6,59,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,18.3,,,2500 or more  or no clouds.,,,30.0,7.2,2.0,12,,,,
01.04.2020 14:00,16.0,703.3,761.8,-2.3,60,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,20.4,,,2500 or more  or no clouds.,,,26.0,8.2,6.0,12,,,,
01.04.2020 11:00,12.6,705.6,764.6,0.5,86,Wind blowing from the north,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,2500 or more  or no clouds.,,,28.0,10.3,6.0,12,,,,
01.04.2020 08:00,10.4,705.1,764.0,1.2,99,Wind blowing from the north-west,0,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,20.4,,,2500 or more  or no clouds.,,,27.0,10.2,6.0,12,,,,
01.04.2020 05:00,10.6,703.9,762.4,-0.5,99,Wind blowing from the north-northwest,1,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,,,7.3,20.4,,,2500 or more  or no clouds.,,,8.0,10.4,3.0,12,,,,
01.04.2020 02:00,11.1,704.4,762.7,,83,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,20.4,,,2500 or more  or no clouds.,,,30.0,8.3,No precipitation,12,,,,
31.03.2020 20:00,15.2,703.1,762.1,2.2,59,Wind blowing from the south-southeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,20.4,,,2000-2500,,,30.0,7.2,No precipitation,12,,,,
31.03.2020 17:00,18.3,700.9,759.4,-1.8,44,Wind blowing from the south,2,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,20.4,,,1500-2000,,,30.0,5.9,No precipitation,12,,,,
31.03.2020 14:00,19.3,702.7,761.0,-2.5,38,Wind blowing from the south-east,2,,4,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,19.3,,,1000-1500,,,30.0,4.6,1.0,12,,,,
31.03.2020 11:00,14.1,705.2,764.3,0.8,56,Wind blowing from the north-northeast,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,14.2,,,2000-2500,,,30.0,5.5,1.0,12,,,,
31.03.2020 08:00,7.7,704.4,764.0,-0.3,95,Wind blowing from the west-southwest,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,14.2,,,2500 or more  or no clouds.,,,27.0,7.0,1.0,12,,,,
31.03.2020 05:00,7.7,704.7,764.1,0.1,92,Wind blowing from the north-west,1,,7,,Cloud development not observed or not observable. ,,,5.1,14.2,,,2500 or more  or no clouds.,,,30.0,6.5,1.0,12,,,,
31.03.2020 02:00,9.4,704.6,763.7,,68,Wind blowing from the south-southwest,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,14.2,,,2500 or more  or no clouds.,,,27.0,3.8,0.4,12,,,,
30.03.2020 20:00,10.6,703.4,763.1,1.9,64,Wind blowing from the north-northwest,3,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,14.2,,,1000-1500,,,30.0,3.9,Trace of precipitation,12,,,,
30.03.2020 17:00,13.0,701.5,760.9,-0.6,58,Wind blowing from the south-east,3,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,14.2,,,1000-1500,,,30.0,4.9,No precipitation,12,,,,
30.03.2020 14:00,13.5,702.1,761.4,-1.8,53,Wind blowing from the south-east,2,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,13.9,,,1500-2000,,,30.0,4.1,No precipitation,12,,,,
30.03.2020 11:00,11.7,703.9,763.5,-0.5,59,Wind blowing from the south,1,,2,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,11.9,,,2500 or more  or no clouds.,,,30.0,4.0,No precipitation,12,,,,
30.03.2020 08:00,6.4,704.4,764.4,0.3,82,Wind blowing from the west,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,11.9,,,1500-2000,,,30.0,3.6,No precipitation,12,,,,
30.03.2020 05:00,5.1,704.1,763.9,-0.7,86,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,,,4.4,11.9,,,2500 or more  or no clouds.,,,30.0,3.0,No precipitation,12,,,,
30.03.2020 02:00,5.8,704.8,764.7,,81,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,11.9,,,2500 or more  or no clouds.,,,30.0,2.8,No precipitation,12,,,,
29.03.2020 20:00,8.7,703.9,763.9,1.0,64,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,11.9,,,2000-2500,,,30.0,2.1,No precipitation,12,,,,
29.03.2020 17:00,11.6,702.9,762.6,-1.4,50,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,11.9,,,2000-2500,,,30.0,1.5,No precipitation,12,,,,
29.03.2020 14:00,10.7,704.3,764.1,-1.3,54,Wind blowing from the north-northeast,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,10.9,,,2500 or more  or no clouds.,,,30.0,1.8,3.0,12,,,,
29.03.2020 11:00,8.7,705.6,765.7,0.5,56,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,8.9,,,2000-2500,,,30.0,0.4,3.0,12,,,,
29.03.2020 08:00,5.6,705.1,765.4,1.1,71,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,8.6,,,2000-2500,,,30.0,0.6,3.0,12,,,,
29.03.2020 05:00,4.5,704.0,764.4,0.2,85,Wind blowing from the north-east,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,4.5,8.6,,,2500 or more  or no clouds.,,,23.0,2.2,3.0,12,,,,
29.03.2020 02:00,6.3,703.8,763.9,,68,Wind blowing from the north-northwest,4,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,8.6,,,2500 or more  or no clouds.,,,30.0,0.8,0.6,12,,,,
28.03.2020 20:00,7.0,703.9,763.8,0.0,72,Wind blowing from the north,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.6,,,2000-2500,,,30.0,2.3,0.8,12,,,,
28.03.2020 17:00,6.9,703.9,763.9,-1.5,78,Wind blowing from the north,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.7,,,2000-2500,,,30.0,3.3,0.8,12,,,,
28.03.2020 14:00,7.2,705.4,765.6,-2.3,74,Wind blowing from the north,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.7,,,2000-2500,,,20.0,2.9,0.2,12,,,,
28.03.2020 11:00,8.3,707.7,768.0,0.5,68,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.9,,,2000-2500,,,30.0,2.7,0.2,12,,,,
28.03.2020 08:00,7.8,707.2,767.3,-0.6,71,Wind blowing from the north-northeast,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,9.5,,,2000-2500,,,30.0,2.9,No precipitation,12,,,,
28.03.2020 05:00,7.3,707.8,768.1,-1.4,70,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,,,6.2,10.6,,,2500 or more  or no clouds.,,,30.0,2.2,No precipitation,12,,,,
28.03.2020 02:00,6.7,709.2,769.6,,78,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,,,,2500 or more  or no clouds.,,,30.0,3.0,2.0,12,,,,
27.03.2020 20:00,8.4,707.6,767.5,0.0,63,Wind blowing from the north-northwest,2,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,,,,2000-2500,,,30.0,1.8,22.0,12,,,,
27.03.2020 17:00,8.1,707.6,767.5,0.7,71,Wind blowing from the north-northwest,6,,11,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,7.6,,,,2000-2500,,,30.0,3.0,31.0,12,,,,
27.03.2020 14:00,8.2,706.9,766.4,0.5,80,Wind blowing from the north-northwest,5,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.0,,,,2500 or more  or no clouds.,,,22.0,5.0,30.0,12,,,,
27.03.2020 11:00,8.8,706.4,765.4,1.6,84,Wind blowing from the north-northwest,5,,11,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,8.8,,,,2500 or more  or no clouds.,,,9.0,6.2,25.0,12,,,,
27.03.2020 08:00,9.6,704.8,763.3,1.5,83,Wind blowing from the north-northwest,5,,11,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,24.5,,,2500 or more  or no clouds.,,,16.0,6.9,12.0,12,,,,
27.03.2020 05:00,10.6,703.3,761.2,-0.3,74,Wind blowing from the north-northwest,7,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.5,24.5,,,2500 or more  or no clouds.,,,25.0,6.2,3.0,12,,,,
27.03.2020 02:00,13.0,703.6,761.1,,60,Wind blowing from the north-northwest,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,24.5,,,2500 or more  or no clouds.,,,30.0,5.4,2.0,12,,,,
26.03.2020 20:00,18.5,700.8,758.6,2.5,46,Wind blowing from the north-northwest,6,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,24.5,,,2000-2500,,,11.0,6.7,No precipitation,12,,,,
26.03.2020 17:00,22.6,698.3,755.5,,49,Wind blowing from the north,5,,10,20–30%., ,,,12.8,25.1,,,2500 or more  or no clouds.,,,17.0,11.4,No precipitation,6,,,,
26.03.2020 14:00,24.1,698.1,755.0,-0.9,49,Wind blowing from the north,5,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,25.3,,,1500-2000,,,30.0,12.7,No precipitation,12,,,,
26.03.2020 11:00,23.1,699.0,756.1,,53,Wind blowing from the north-northwest,3,,6,20–30%., ,,,12.8,25.3,,,2000-2500,,,28.0,13.0,No precipitation,6,,,,
26.03.2020 08:00,13.6,698.0,755.6,0.8,99,Wind blowing from the north-west,1,,2,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,25.3,,,2500 or more  or no clouds.,,,12.0,13.4,No precipitation,12,,,,
26.03.2020 05:00,13.6,697.2,754.0,,99,Wind blowing from the north-west,1,,,, ,,,,,,,,,,13.0,13.4,,,,,,
26.03.2020 02:00,14.9,697.5,754.3,,94,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,25.3,,,2500 or more  or no clouds.,,,16.0,13.9,No precipitation,12,,,,
