Local time in Yichang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 02:00,12.4,743.5,766.6,-1.1,80,Wind blowing from the west-northwest,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,19.2,,,2500 or more  or no clouds.,,,7.0,9.1,No precipitation,12,,,,
05.04.2020 23:00,14.8,744.6,767.6,0.7,57,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,,,11.9,19.2,,,2500 or more  or no clouds.,,,7.0,6.4,No precipitation,12,,,,
05.04.2020 20:00,15.4,743.9,767.0,0.9,57,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,19.2,,,2500 or more  or no clouds.,,,9.0,6.9,No precipitation,12,,,,
05.04.2020 17:00,17.7,743.0,766.0,-1.7,50,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,19.2,,,2500 or more  or no clouds.,,,12.0,7.2,No precipitation,12,,,,
05.04.2020 14:00,17.9,744.7,767.7,-1.9,47,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,18.9,,,2500 or more  or no clouds.,,,12.0,6.4,No precipitation,12,,,,
05.04.2020 11:00,15.3,746.6,769.8,0.4,61,Wind blowing from the south-west,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,18.9,,,2500 or more  or no clouds.,,,17.0,7.8,No precipitation,12,,,,
05.04.2020 08:00,12.0,746.2,769.3,1.6,67,Wind blowing from the north-west,2,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,18.9,,,2500 or more  or no clouds.,,,24.0,6.1,No precipitation,12,,,,
05.04.2020 05:00,13.1,744.6,767.6,-0.7,54,Wind blowing from the north-northwest,2,,3,,Cloud development not observed or not observable. ,,,8.9,18.9,,,2500 or more  or no clouds.,,,27.0,4.0,No precipitation,12,,,,
05.04.2020 02:00,12.9,745.3,768.3,-0.6,55,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,18.9,,,2500 or more  or no clouds.,,,21.0,4.1,No precipitation,12,,,,
04.04.2020 23:00,13.8,745.9,769.0,0.5,51,Wind blowing from the west-southwest,2,,4,,Cloud development not observed or not observable. ,,,8.9,18.9,,,2500 or more  or no clouds.,,,20.0,3.8,No precipitation,12,,,,
04.04.2020 20:00,15.7,745.4,768.7,1.1,37,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,18.9,,,2500 or more  or no clouds.,,,23.0,1.1,No precipitation,12,,,,
04.04.2020 17:00,17.6,744.3,767.5,-1.0,30,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,18.9,,,2500 or more  or no clouds.,,,26.0,-0.2,No precipitation,12,,,,
04.04.2020 14:00,18.2,745.3,768.4,-1.1,26,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,18.4,,,2500 or more  or no clouds.,,,30.0,-1.6,No precipitation,12,,,,
04.04.2020 11:00,16.0,746.4,769.6,0.2,54,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.4,,,2500 or more  or no clouds.,,,13.0,6.7,No precipitation,12,,,,
04.04.2020 08:00,10.1,746.2,769.6,1.2,83,Wind blowing from the north-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.4,,,2500 or more  or no clouds.,,,8.0,7.3,No precipitation,12,,,,
04.04.2020 05:00,9.1,745.0,768.4,-0.2,97,Wind blowing from the west,2,,3,,Cloud development not observed or not observable. ,,,8.9,16.4,,,2500 or more  or no clouds.,,,7.0,8.6,No precipitation,12,,,,
04.04.2020 02:00,10.7,745.2,768.4,-0.6,81,Wind blowing from the north-west,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,16.4,,,2500 or more  or no clouds.,,,8.0,7.6,No precipitation,12,,,,
03.04.2020 23:00,12.0,745.8,769.0,0.6,84,Wind blowing from the north-west,1,,3,,Mist. ,,,10.7,16.4,,,2500 or more  or no clouds.,,,5.0,9.4,No precipitation,12,,,,
03.04.2020 20:00,13.7,745.2,768.4,1.3,63,Wind blowing from the south,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,16.4,,,2500 or more  or no clouds.,,,6.0,6.8,No precipitation,12,,,,
03.04.2020 17:00,14.2,743.9,767.2,-0.8,62,Wind blowing from the west-northwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,16.4,,,2500 or more  or no clouds.,,,8.0,7.0,No precipitation,12,,,,
03.04.2020 14:00,16.0,744.7,767.8,-1.5,56,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,16.4,,,2500 or more  or no clouds.,,,7.0,7.2,No precipitation,12,,,,
03.04.2020 11:00,14.4,746.2,769.5,0.6,65,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,15.0,,,2500 or more  or no clouds.,,,7.0,7.9,No precipitation,12,,,,
03.04.2020 08:00,11.4,745.6,768.9,1.3,99,Wind blowing from the west-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,15.0,,,2500 or more  or no clouds.,,,6.0,11.2,No precipitation,12,,,,
03.04.2020 05:00,10.8,744.3,767.5,-0.5,99,Wind blowing from the west-northwest,1,,5,,Mist. ,,,10.8,15.0,,,2500 or more  or no clouds.,,,6.0,10.6,No precipitation,12,,,,
03.04.2020 02:00,11.8,744.8,768.1,-0.6,73,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.0,,,2500 or more  or no clouds.,,,14.0,7.1,No precipitation,12,,,,
02.04.2020 23:00,12.2,745.4,768.7,0.5,79,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,,,11.1,15.0,,,2500 or more  or no clouds.,,,8.0,8.7,No precipitation,12,,,,
02.04.2020 20:00,12.7,744.9,768.2,1.8,71,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.0,,,2500 or more  or no clouds.,,,13.0,7.6,No precipitation,12,,,,
02.04.2020 17:00,14.0,743.1,766.3,-0.4,73,Wind blowing from the south-east,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.0,,,2500 or more  or no clouds.,,,7.0,9.2,No precipitation,12,,,,
02.04.2020 14:00,13.2,743.5,766.8,-1.8,77,Wind blowing from the west,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,,,,2500 or more  or no clouds.,,,6.0,9.3,No precipitation,12,,,,
02.04.2020 11:00,11.3,745.3,768.6,1.2,86,Wind blowing from the east-southeast,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,,,,2500 or more  or no clouds.,,,6.0,9.0,No precipitation,12,,,,
02.04.2020 08:00,11.1,744.1,767.4,1.7,86,Wind blowing from the south-east,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,6.0,8.8,No precipitation,12,,,,
02.04.2020 05:00,11.3,742.4,765.5,-0.9,77,Wind blowing from the north-northeast,2,,9,,Mist. ,,,7.3,17.3,,,2500 or more  or no clouds.,,,6.0,7.4,No precipitation,12,,,,
02.04.2020 02:00,11.6,743.3,766.4,-0.7,93,Wind blowing from the west-northwest,2,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,17.3,,,2500 or more  or no clouds.,,,3.7,10.5,No precipitation,12,,,,
01.04.2020 23:00,12.0,744.0,767.2,1.4,86,Wind blowing from the east,3,,9,,Mist. ,,,7.2,17.3,,,2500 or more  or no clouds.,,,4.4,9.7,No precipitation,12,,,,
01.04.2020 20:00,12.6,742.6,766.0,1.9,77,Wind blowing from the east-southeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,17.3,,,2500 or more  or no clouds.,,,7.0,8.7,No precipitation,12,,,,
01.04.2020 17:00,15.1,740.7,763.9,-0.7,64,Wind blowing from the east,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,17.3,,,2500 or more  or no clouds.,,,11.0,8.3,No precipitation,12,,,,
01.04.2020 14:00,15.8,741.4,764.5,-2.3,65,Wind blowing from the east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,16.3,,,2500 or more  or no clouds.,,,8.0,9.2,No precipitation,12,,,,
01.04.2020 11:00,13.8,743.7,767.0,0.5,77,Wind blowing from the east-southeast,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,14.4,,,2500 or more  or no clouds.,,,5.0,9.8,No precipitation,12,,,,
01.04.2020 08:00,8.4,743.2,766.7,2.2,99,Wind blowing from the east,2,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,14.4,,,2500 or more  or no clouds.,,,2.5,8.3,No precipitation,12,,,,
01.04.2020 05:00,7.6,741.0,764.3,-0.5,99,Wind blowing from the north,2,,5,,Mist. ,,,7.2,14.4,,,2500 or more  or no clouds.,,,1.1,7.5,No precipitation,12,,,,
01.04.2020 02:00,8.3,741.5,764.8,-0.3,99,Wind blowing from the north,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,14.4,,,2500 or more  or no clouds.,,,3.0,8.2,No precipitation,12,,,,
31.03.2020 23:00,9.4,741.8,765.2,1.6,98,Wind blowing from the north,1,,4,,Mist. ,,,7.3,14.4,,,2500 or more  or no clouds.,,,4.1,9.1,No precipitation,12,,,,
31.03.2020 20:00,10.8,740.2,763.6,0.9,82,Wind blowing from the east-northeast,2,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,14.4,,,2500 or more  or no clouds.,,,5.0,7.9,No precipitation,12,,,,
31.03.2020 17:00,12.5,739.3,762.6,-0.7,74,Wind blowing from the south-southeast,2,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,14.4,,,2500 or more  or no clouds.,,,7.0,8.0,No precipitation,12,,,,
31.03.2020 14:00,11.7,740.0,763.3,-1.2,73,Wind blowing from the south-west,2,,3,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,11.8,,,2500 or more  or no clouds.,,,6.0,7.0,No precipitation,12,,,,
31.03.2020 11:00,9.6,741.2,764.6,0.1,85,Wind blowing from the west,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,10.7,,,2500 or more  or no clouds.,,,4.7,7.2,No precipitation,12,,,,
31.03.2020 08:00,7.5,741.1,764.6,0.3,99,Wind blowing from the north-northeast,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,10.7,,,2500 or more  or no clouds.,,,2.3,7.4,No precipitation,12,,,,
31.03.2020 05:00,7.4,740.8,764.2,-0.7,99,Wind blowing from the east,1,,4,,Mist. ,,,5.5,10.7,,,2500 or more  or no clouds.,,,3.1,7.3,No precipitation,12,,,,
31.03.2020 02:00,7.7,741.5,764.9,-1.0,99,Wind blowing from the east,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,10.7,,,2500 or more  or no clouds.,,,5.0,7.6,No precipitation,12,,,,
30.03.2020 23:00,8.3,742.5,766.0,1.5,87,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,,,5.5,10.7,,,2500 or more  or no clouds.,,,9.0,6.3,No precipitation,12,,,,
30.03.2020 20:00,8.9,741.0,764.5,1.4,79,Wind blowing from the east,2,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,10.7,,,2500 or more  or no clouds.,,,13.0,5.5,No precipitation,12,,,,
30.03.2020 17:00,10.4,739.6,763.1,-1.4,69,Wind blowing from the east-southeast,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,10.7,,,2500 or more  or no clouds.,,,18.0,5.0,No precipitation,12,,,,
30.03.2020 14:00,10.6,741.0,764.5,-2.0,67,Wind blowing from the east,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,10.7,,,2500 or more  or no clouds.,,,16.0,4.7,No precipitation,12,,,,
30.03.2020 11:00,7.4,743.0,766.7,0.9,87,Wind blowing from the east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,7.6,,,2500 or more  or no clouds.,,,8.0,5.4,No precipitation,12,,,,
30.03.2020 08:00,5.7,742.1,765.8,0.8,99,Wind blowing from the east,3,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,7.6,,,2000-2500,,,3.1,5.6,Trace of precipitation,12,,,,
30.03.2020 05:00,5.7,741.3,764.9,-1.6,99,Wind blowing from the north-east,1,,4,,Mist. ,,,4.7,7.6,,,2500 or more  or no clouds.,,,4.5,5.6,No precipitation,12,,,,
30.03.2020 02:00,5.8,742.9,766.6,-0.3,99,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,7.6,,,2500 or more  or no clouds.,,,7.0,5.7,No precipitation,12,,,,
29.03.2020 23:00,6.2,743.2,766.9,1.2,98,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,,,4.7,7.6,,,2500 or more  or no clouds.,,,13.0,5.9,No precipitation,12,,,,
29.03.2020 20:00,6.6,742.0,765.7,1.0,92,Wind blowing from the south-southeast,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,7.6,,,2000-2500,,,18.0,5.4,0.3,12,,,,
29.03.2020 17:00,7.3,741.0,764.7,-0.9,84,Wind blowing from the east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,7.6,,,300-600,,,23.0,4.8,2.0,12,,,,
29.03.2020 14:00,6.9,741.9,765.6,-1.2,88,Wind blowing from the east,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,4.6,8.8,,,1500-2000,,,19.0,5.1,5.0,12,,,,
29.03.2020 11:00,6.1,743.1,766.9,0.3,99,Wind blowing from the east-southeast,2,,4,100%.,Fog or ice fog. ,Rain.,Drizzle.,4.6,,,,300-600,,,3.2,6.0,12.0,12,,,,
29.03.2020 08:00,4.8,742.8,766.6,1.7,99,Wind blowing from the east-southeast,2,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,4.6,,,,300-600,,,0.1,4.7,16.0,12,,,,
29.03.2020 05:00,4.8,741.1,764.8,-1.9,99,Wind blowing from the east-southeast,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,4.6,9.7,,,2500 or more  or no clouds.,,,2.5,4.7,16.0,12,,,,
29.03.2020 02:00,4.9,743.0,766.7,-1.6,99,Wind blowing from the west-northwest,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,9.7,,,2500 or more  or no clouds.,,,0.1,4.8,13.0,12,,,,
28.03.2020 23:00,4.9,744.6,768.3,0.8,99,Wind blowing from the south-west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,4.6,9.7,,,2500 or more  or no clouds.,,,1.2,4.8,6.0,12,,,,
28.03.2020 20:00,6.3,743.8,767.5,0.0,73,Wind blowing from the south-east,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,9.7,,,300-600,,,15.0,1.8,0.9,12,,,,
28.03.2020 17:00,7.6,743.8,767.5,-1.5,67,Wind blowing from the south-east,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,9.7,,,300-600,,,26.0,1.7,0.1,12,,,,
28.03.2020 14:00,8.8,745.3,769.0,-2.8,51,Wind blowing from the south-southeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,9.7,,,1500-2000,,,30.0,-1.0,0.1,12,,,,
28.03.2020 11:00,9.1,748.1,772.0,0.1,73,Wind blowing from the west-northwest,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,10.7,,,2000-2500,,,30.0,4.5,0.3,12,,,,
28.03.2020 08:00,6.4,748.0,772.0,1.0,74,Wind blowing from the north-northeast,2,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,,,,300-600,,,25.0,2.1,0.4,12,,,,
28.03.2020 05:00,5.5,747.0,771.0,-1.0,99,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,3.5,,,,2500 or more  or no clouds.,,,29.0,5.4,2.0,12,,,,
28.03.2020 02:00,5.5,748.0,772.0,-1.0,99,Wind blowing from the west-northwest,1,,8,,Fog or ice fog. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,,,,2500 or more  or no clouds.,,,0.9,5.4,11.0,12,,,,
27.03.2020 23:00,4.6,749.0,772.8,1.0,99,Wind blowing from the west-northwest,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.5,15.1,,,2500 or more  or no clouds.,,,0.4,4.5,11.0,12,,,,
27.03.2020 20:00,3.8,748.0,771.7,1.8,99,Wind blowing from the west-northwest,2,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,3.5,17.7,,,300-600,,,1.7,3.7,11.0,12,,,,
27.03.2020 17:00,3.9,746.2,769.9,0.8,99,Wind blowing from the north,2,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,3.9,18.2,,,300-600,,,10.0,3.8,9.0,12,,,,
27.03.2020 14:00,5.8,745.4,769.0,0.5,83,Wind blowing from the north-northwest,3,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,20.3,,,300-600,,,10.0,3.1,0.8,12,,,,
27.03.2020 11:00,10.7,744.9,768.1,1.2,54,Wind blowing from the north-east,4,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,20.7,,,2000-2500,,,30.0,1.8,No precipitation,12,,,,
27.03.2020 08:00,11.3,743.7,766.7,0.4,52,Wind blowing from the north,2,,13,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,20.7,,,2000-2500,,,30.0,1.8,No precipitation,12,,,,
27.03.2020 05:00,12.0,743.3,766.3,0.8,58,Wind blowing from the north,3,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.0,20.7,,,2500 or more  or no clouds.,,,30.0,3.8,5.0,12,,,,
27.03.2020 02:00,12.8,742.5,765.4,1.4,64,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,20.7,,,2500 or more  or no clouds.,,,30.0,6.2,8.0,12,,,,
