Local time in Chuxiong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 14:00,14.4,614.9,761.3,-1.3,85,Wind blowing from the south-southeast,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,8.0,11.9,3.0,12,,,,
04.04.2020 11:00,13.8,616.2,762.3,1.7,77,Wind blowing from the west,5,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,9.0,9.8,0.5,12,,,,
04.04.2020 08:00,13.5,614.5,759.1,0.9,63,Wind blowing from the west,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,25.1,,,2500 or more  or no clouds.,,,14.0,6.6,No precipitation,12,,,,
04.04.2020 05:00,13.3,613.6,757.3,,64,Calm  no wind,0,,,, ,,,11.4,25.1,,,,,,20.0,6.6,No precipitation,6,,,,
04.04.2020 02:00,14.4,614.2,757.6,,60,Wind blowing from the west-northwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,25.1,,,2500 or more  or no clouds.,,,18.0,6.7,No precipitation,12,,,,
03.04.2020 20:00,21.3,612.6,757.3,1.1,32,Wind blowing from the west,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,25.1,,,2500 or more  or no clouds.,,,25.0,4.0,No precipitation,12,,,,
03.04.2020 17:00,24.1,611.5,754.9,-1.3,23,Wind blowing from the west,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,25.1,,,2500 or more  or no clouds.,,,25.0,1.7,No precipitation,12,,,,
03.04.2020 14:00,24.4,612.8,755.9,-2.0,22,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,25.9,,,2500 or more  or no clouds.,,,24.0,1.3,No precipitation,12,,,,
03.04.2020 11:00,20.7,614.8,758.2,0.6,38,Wind blowing from the south-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,25.9,,,2500 or more  or no clouds.,,,17.0,5.9,No precipitation,12,,,,
03.04.2020 08:00,11.6,614.2,760.2,1.5,72,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,25.9,,,2500 or more  or no clouds.,,,10.0,6.7,No precipitation,12,,,,
03.04.2020 05:00,13.1,612.7,758.8,-0.6,69,Wind blowing from the south-southeast,1,,11,,Cloud development not observed or not observable. ,,,13.0,,,,2500 or more  or no clouds.,,,20.0,7.5,0.4,12,,,,
03.04.2020 02:00,14.7,613.3,756.2,,57,Wind blowing from the north-east,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,25.9,,,2500 or more  or no clouds.,,,22.0,6.3,0.9,12,,,,
02.04.2020 20:00,17.8,611.8,755.9,-1.0,49,Wind blowing from the south-east,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,25.9,,,2500 or more  or no clouds.,,,25.0,7.0,0.9,12,,,,
02.04.2020 17:00,14.9,612.8,757.9,1.3,68,Wind blowing from the west-southwest,6,,17,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,27.2,,,2500 or more  or no clouds.,,,9.0,9.1,0.5,12,,,,
02.04.2020 14:00,25.2,611.5,752.6,-1.8,20,Wind blowing from the west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,28.1,,,2500 or more  or no clouds.,,,19.0,0.7,No precipitation,12,,,,
02.04.2020 11:00,22.2,613.3,755.5,,25,Wind blowing from the west,5,,10,, ,,,16.1,28.1,,,,,,20.0,1.3,No precipitation,6,,,,
02.04.2020 08:00,16.5,612.6,755.2,1.1,45,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,28.1,,,2500 or more  or no clouds.,,,24.0,4.5,No precipitation,12,,,,
02.04.2020 05:00,17.0,611.5,753.0,-0.7,41,Wind blowing from the south-west,1,,12,,Cloud development not observed or not observable. ,,,14.4,28.1,,,2500 or more  or no clouds.,,,25.0,3.7,No precipitation,12,,,,
02.04.2020 02:00,20.5,612.2,752.9,,26,Wind blowing from the south-southwest,2,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,28.1,,,2500 or more  or no clouds.,,,18.0,0.4,No precipitation,12,,,,
01.04.2020 20:00,24.4,610.6,753.1,1.0,15,Wind blowing from the west-southwest,4,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,28.1,,,2500 or more  or no clouds.,,,18.0,-3.9,No precipitation,12,,,,
01.04.2020 17:00,27.1,609.6,750.7,-1.4,11,Wind blowing from the west-southwest,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,28.4,,,2500 or more  or no clouds.,,,25.0,-5.9,No precipitation,12,,,,
01.04.2020 14:00,27.1,611.0,751.4,-2.3,9,Wind blowing from the west-southwest,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,28.9,,,2500 or more  or no clouds.,,,28.0,-8.5,No precipitation,12,,,,
01.04.2020 11:00,23.8,613.3,754.9,0.3,12,Wind blowing from the west-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,28.9,,,2500 or more  or no clouds.,,,30.0,-7.3,No precipitation,12,,,,
01.04.2020 08:00,14.8,613.0,756.0,1.2,46,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,28.9,,,2500 or more  or no clouds.,,,13.0,3.3,No precipitation,12,,,,
01.04.2020 05:00,16.4,611.8,753.1,-0.4,38,Wind blowing from the south-east,1,,11,,Cloud development not observed or not observable. ,,,14.8,28.9,,,2500 or more  or no clouds.,,,21.0,2.1,No precipitation,12,,,,
01.04.2020 02:00,20.6,612.2,752.8,,25,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,28.9,,,2500 or more  or no clouds.,,,23.0,-0.1,No precipitation,12,,,,
31.03.2020 20:00,24.7,610.9,753.3,1.2,12,Wind blowing from the west-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,28.9,,,,,,30.0,-6.6,No precipitation,12,,,,
31.03.2020 17:00,28.2,609.7,750.1,-2.1,10,Wind blowing from the south-west,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,28.9,,,,,,26.0,-6.3,No precipitation,12,,,,
31.03.2020 14:00,27.4,611.8,752.2,,11,Wind blowing from the south,4,,11,, ,,,14.8,27.8,,,,,,30.0,-5.6,No precipitation,6,,,,
31.03.2020 11:00,22.0,613.7,755.5,0.9,20,Wind blowing from the west-northwest,2,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,27.8,,,,,,26.0,-2.0,No precipitation,12,,,,
31.03.2020 08:00,15.4,612.8,755.5,1.2,34,Wind blowing from the south-southeast,0,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,27.8,,,,,,28.0,-0.4,No precipitation,12,,,,
31.03.2020 05:00,18.2,611.6,752.6,-0.5,25,Wind blowing from the south-west,4,,14,,Cloud development not observed or not observable. ,,,13.8,27.8,,,2500 or more  or no clouds.,,,30.0,-2.1,No precipitation,12,,,,
31.03.2020 02:00,20.7,612.1,752.8,,19,Wind blowing from the west-southwest,6,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,27.8,,,2500 or more  or no clouds.,,,30.0,-3.7,No precipitation,12,,,,
30.03.2020 20:00,24.9,609.5,751.9,1.0,13,Wind blowing from the west-southwest,6,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,27.8,,,,,,30.0,-5.4,No precipitation,12,,,,
30.03.2020 17:00,27.6,608.5,749.2,-1.2,15,Wind blowing from the west-southwest,6,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,27.8,,,,,,30.0,-1.3,No precipitation,12,,,,
30.03.2020 14:00,26.5,609.7,750.3,-2.1,18,Wind blowing from the west-southwest,8,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,27.6,,,,,,26.0,0.3,No precipitation,12,,,,
30.03.2020 11:00,23.0,611.8,753.1,0.3,27,Wind blowing from the west-southwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,27.6,,,,,,23.0,3.0,No precipitation,12,,,,
30.03.2020 08:00,14.1,611.5,754.4,0.9,48,Wind blowing from the north-northwest,1,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,27.6,,,,,,29.0,3.3,No precipitation,12,,,,
30.03.2020 05:00,16.5,610.6,752.0,-0.6,36,Wind blowing from the south-west,3,,15,,Cloud development not observed or not observable. ,,,16.5,27.6,,,2500 or more  or no clouds.,,,30.0,1.4,No precipitation,12,,,,
30.03.2020 02:00,19.5,611.2,752.2,,29,Wind blowing from the west,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,27.6,,,2500 or more  or no clouds.,,,30.0,1.0,No precipitation,12,,,,
29.03.2020 17:00,27.0,608.1,748.4,-1.1,20,Wind blowing from the south-west,7,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,27.6,,,,,,20.0,2.1,0.4,12,,,,
29.03.2020 14:00,26.0,609.2,749.7,-1.8,23,Wind blowing from the west-southwest,8,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,26.2,,,1000-1500,,,25.0,3.3,0.8,12,,,,
29.03.2020 11:00,23.2,611.0,752.5,0.7,30,Wind blowing from the south-west,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,25.7,,,2500 or more  or no clouds.,,,22.0,4.7,0.8,12,,,,
29.03.2020 08:00,18.3,610.3,752.2,,46,Wind blowing from the south-southwest,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,25.7,,,,,,22.0,6.5,0.8,6,,,,
29.03.2020 05:00,18.5,609.6,750.7,-0.8,47,Wind blowing from the south-west,3,,13,,Cloud development not observed or not observable. ,,,13.3,25.7,,,2500 or more  or no clouds.,,,23.0,7.0,0.4,12,,,,
29.03.2020 02:00,19.8,610.4,751.3,,47,Wind blowing from the south-southwest,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,25.7,,,2500 or more  or no clouds.,,,20.0,8.2,No precipitation,12,,,,
28.03.2020 20:00,22.8,609.3,752.2,,35,Wind blowing from the south-west,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,25.7,,,2500 or more  or no clouds.,,,29.0,6.6,No precipitation,12,,,,
28.03.2020 14:00,25.3,610.0,751.6,-2.4,29,Wind blowing from the south-west,7,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,28.1,,,1000-1500,,,30.0,6.0,No precipitation,12,,,,
28.03.2020 11:00,21.4,612.4,754.6,0.3,39,Wind blowing from the south,4,,,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,28.1,,,1000-1500,,,26.0,6.9,No precipitation,12,,,,
28.03.2020 08:00,13.6,612.1,755.5,0.6,64,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,28.1,,,2500 or more  or no clouds.,,,21.0,6.9,No precipitation,12,,,,
28.03.2020 05:00,14.2,611.5,753.6,,60,Wind blowing from the south-east,0,,9,, ,,,12.4,28.1,,,,,,23.0,6.6,No precipitation,6,,,,
28.03.2020 02:00,16.8,612.8,754.9,,51,Wind blowing from the north,0,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,28.1,,,2500 or more  or no clouds.,,,25.0,6.6,No precipitation,12,,,,
27.03.2020 20:00,23.6,610.6,754.0,0.9,30,Wind blowing from the south,3,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,28.1,,,2500 or more  or no clouds.,,,30.0,5.0,No precipitation,12,,,,
27.03.2020 17:00,27.7,609.7,751.1,,22,Wind blowing from the south-southwest,4,,,no clouds, ,,,12.4,28.1,,,,,,30.0,4.1,No precipitation,6,,,,
27.03.2020 14:00,25.8,611.1,752.5,-1.9,23,Wind blowing from the west-southwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,26.2,,,,,,30.0,3.1,No precipitation,12,,,,
27.03.2020 11:00,21.5,613.0,755.7,0.6,34,Wind blowing from the north,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,25.5,,,,,,25.0,5.0,No precipitation,12,,,,
27.03.2020 08:00,12.7,612.4,756.8,,60,Wind blowing from the west,1,,9,no clouds, ,,,12.4,25.5,,,,,,24.0,5.1,No precipitation,6,,,,
27.03.2020 05:00,15.2,611.4,754.1,-0.8,51,Wind blowing from the west-northwest,0,,12,,Cloud development not observed or not observable. ,,,13.6,25.5,,,2500 or more  or no clouds.,,,28.0,5.1,No precipitation,12,,,,
27.03.2020 02:00,17.9,612.2,754.3,,41,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,25.5,,,2500 or more  or no clouds.,,,30.0,4.5,No precipitation,12,,,,
26.03.2020 20:00,21.2,610.5,754.2,1.0,26,Wind blowing from the west-southwest,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,25.5,,,,,,30.0,1.0,No precipitation,12,,,,
26.03.2020 17:00,24.1,609.5,751.4,,21,Wind blowing from the south-southwest,5,,13,90  or more  but not 100%, ,,,13.6,25.5,,,,,,30.0,0.4,No precipitation,6,,,,
26.03.2020 14:00,24.6,610.2,752.0,-1.8,15,Wind blowing from the west,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,24.6,,,,,,30.0,-3.7,No precipitation,12,,,,
26.03.2020 11:00,21.0,612.0,754.6,,23,Wind blowing from the west,4,,10,, ,,,13.6,24.3,,,,,,30.0,-0.9,No precipitation,6,,,,
26.03.2020 08:00,13.6,611.4,755.4,0.7,53,Wind blowing from the west-northwest,0,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,24.3,,,,,,30.0,4.2,No precipitation,12,,,,
26.03.2020 05:00,16.5,610.7,753.0,,38,Wind blowing from the west-southwest,4,,13,, ,,,9.8,24.3,,,,,,30.0,2.1,No precipitation,6,,,,
26.03.2020 02:00,16.9,611.2,753.8,,40,Wind blowing from the south-west,3,,13,, ,,,9.8,24.3,,,,,,30.0,3.2,No precipitation,6,,,,
25.03.2020 20:00,20.7,609.4,754.0,0.9,26,Wind blowing from the south-west,3,,13,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,24.3,,,1000-1500,,,30.0,0.5,No precipitation,12,,,,
25.03.2020 17:00,23.9,608.5,751.6,,20,Wind blowing from the south-west,5,,13,no clouds, ,,,9.8,24.3,,,,,,30.0,-0.4,No precipitation,6,,,,
25.03.2020 14:00,22.6,610.1,753.6,-2.0,19,Wind blowing from the south-west,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,23.1,,,,,,30.0,-2.2,No precipitation,12,,,,
25.03.2020 11:00,17.8,612.1,756.8,,41,Wind blowing from the north-northeast,1,,9,no clouds, ,,,9.8,22.2,,,,,,27.0,4.4,No precipitation,6,,,,
25.03.2020 08:00,9.8,611.9,757.5,0.3,70,Wind blowing from the west-northwest,1,,,no clouds,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,22.2,,,,,,30.0,4.6,0.3,12,,,,
25.03.2020 05:00,11.3,611.6,756.1,,64,Wind blowing from the south-southeast,2,,14,, ,,,9.6,22.2,,,,,,30.0,4.7,No precipitation,6,,,,
